iter	Passed	Remaining
0	61	61010
1	70	35032
2	80	26733
3	94	23524
4	104	20888
5	113	18727
6	121	17191
7	129	16099
8	137	15104
9	145	14440
10	155	13987
11	168	13902
12	184	13988
13	199	14017
14	214	14074
15	227	14007
16	238	13785
17	247	13507
18	258	13324
19	267	13085
20	277	12928
21	285	12712
22	296	12577
23	305	12415
24	315	12308
25	323	12131
26	334	12062
27	343	11927
28	354	11868
29	364	11781
30	374	11700
31	383	11585
32	393	11517
33	401	11417
34	412	11377
35	425	11392
36	434	11312
37	443	11220
38	452	11151
39	461	11071
40	469	10971
41	478	10912
42	487	10845
43	499	10844
44	512	10877
45	527	10933
46	535	10866
47	550	10910
48	559	10849
49	567	10784
50	576	10725
51	587	10716
52	596	10659
53	605	10600
54	615	10568
55	628	10594
56	642	10623
57	654	10626
58	664	10593
59	676	10594
60	686	10573
61	700	10600
62	714	10632
63	732	10710
64	747	10746
65	761	10775
66	774	10784
67	789	10826
68	803	10843
69	811	10786
70	820	10736
71	829	10689
72	837	10637
73	845	10582
74	854	10534
75	861	10479
76	869	10426
77	878	10383
78	886	10336
79	894	10286
80	904	10263
81	915	10250
82	929	10274
83	940	10251
84	949	10218
85	957	10180
86	966	10144
87	974	10098
88	982	10055
89	990	10016
90	1000	9997
91	1008	9952
92	1016	9916
93	1024	9878
94	1032	9839
95	1041	9806
96	1050	9775
97	1057	9736
98	1065	9697
99	1073	9663
100	1082	9635
101	1091	9607
102	1099	9573
103	1107	9545
104	1117	9523
105	1126	9500
106	1135	9474
107	1143	9441
108	1151	9410
109	1159	9381
110	1167	9353
111	1177	9333
112	1185	9305
113	1194	9280
114	1203	9257
115	1210	9227
116	1219	9200
117	1227	9175
118	1237	9161
119	1246	9138
120	1256	9128
121	1267	9119
122	1277	9111
123	1289	9107
124	1299	9098
125	1310	9088
126	1322	9088
127	1335	9099
128	1345	9088
129	1358	9093
130	1369	9083
131	1381	9084
132	1394	9093
133	1407	9097
134	1419	9093
135	1430	9089
136	1443	9092
137	1455	9089
138	1467	9089
139	1479	9090
140	1493	9095
141	1507	9106
142	1519	9108
143	1530	9100
144	1541	9089
145	1551	9077
146	1565	9084
147	1576	9078
148	1588	9071
149	1598	9060
150	1610	9055
151	1621	9043
152	1631	9031
153	1640	9010
154	1650	9000
155	1660	8981
156	1669	8961
157	1679	8949
158	1690	8939
159	1700	8930
160	1715	8941
161	1735	8977
162	1754	9007
163	1772	9034
164	1791	9066
165	1802	9055
166	1816	9058
167	1825	9039
168	1836	9029
169	1846	9016
170	1857	9004
171	1867	8992
172	1881	8993
173	1896	9004
174	1907	8992
175	1919	8985
176	1929	8973
177	1941	8967
178	1954	8964
179	1966	8958
180	1980	8959
181	1990	8947
182	2003	8942
183	2013	8929
184	2024	8916
185	2038	8920
186	2051	8920
187	2062	8907
188	2071	8890
189	2081	8874
190	2092	8862
191	2102	8849
192	2113	8837
193	2124	8825
194	2133	8806
195	2143	8791
196	2153	8778
197	2163	8761
198	2172	8743
199	2183	8733
200	2192	8714
201	2202	8699
202	2211	8684
203	2222	8670
204	2232	8656
205	2241	8639
206	2252	8629
207	2263	8618
208	2272	8600
209	2284	8594
210	2296	8587
211	2306	8574
212	2317	8562
213	2326	8546
214	2336	8530
215	2345	8512
216	2354	8495
217	2365	8483
218	2373	8465
219	2382	8446
220	2391	8428
221	2399	8410
222	2409	8394
223	2420	8384
224	2435	8389
225	2446	8380
226	2458	8371
227	2468	8357
228	2479	8348
229	2489	8335
230	2499	8319
231	2508	8303
232	2518	8290
233	2527	8274
234	2540	8269
235	2550	8255
236	2560	8242
237	2571	8233
238	2582	8221
239	2594	8216
240	2604	8202
241	2615	8192
242	2625	8177
243	2634	8162
244	2643	8145
245	2651	8127
246	2660	8109
247	2669	8094
248	2678	8079
249	2688	8065
250	2697	8048
251	2705	8030
252	2714	8015
253	2723	7999
254	2733	7986
255	2741	7968
256	2753	7959
257	2762	7945
258	2772	7931
259	2780	7914
260	2788	7896
261	2796	7878
262	2806	7865
263	2814	7847
264	2823	7829
265	2830	7811
266	2838	7793
267	2848	7779
268	2857	7764
269	2865	7747
270	2873	7730
271	2882	7714
272	2890	7697
273	2899	7681
274	2909	7669
275	2918	7656
276	2927	7640
277	2936	7627
278	2946	7613
279	2955	7599
280	2963	7582
281	2971	7566
282	2980	7551
283	2988	7533
284	2997	7519
